id,name,duration,artist_id,artist_name,artist_idstr,album_name,album_id,license_ccurl,position,releasedate,album_image,audio,audiodownload,prourl,shorturl,shareurl,audiodownload_allowed,content_id_free,image,musicinfo,tempo,energy,brightness,noisiness,tonality,cluster
200,Papy HxC,173,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,3,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=200,https://prod-1.storage.jamendo.com/?trackid=200&format=mp32&from=tPA%2BJQqtP29VLt9dGygBkQ%3D%3D%7CMjGEIQMEzxm0RsAn7f54oQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/200/mp32/,,https://jamen.do/t/200,https://www.jamendo.com/track/200,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=200,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'veryhigh', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}",92.28515625,0.2296555191278457,2398.868997080553,0.1214312385110294,0.5368667244911194,0
201,I Love You Heroes,114,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,4,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=201,https://prod-1.storage.jamendo.com/?trackid=201&format=mp32&from=TxpGOdTTWWCxXgPsMMzh3g%3D%3D%7CoEBGOUXg776VEDp9slaAAg%3D%3D,https://prod-1.storage.jamendo.com/download/track/201/mp32/,,https://jamen.do/t/201,https://www.jamendo.com/track/201,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=201,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'veryhigh', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}",95.703125,0.1862949281930923,2512.7608974010072,0.1435119817869582,0.5277585387229919,0
202,Le démarrage de Mark,70,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,5,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=202,https://prod-1.storage.jamendo.com/?trackid=202&format=mp32&from=VBx5q6Sd3Uq6fuGnlxxRIg%3D%3D%7CwMZUJMLe4yZiU3f%2BeN8tBQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/202/mp32/,,https://jamen.do/t/202,https://www.jamendo.com/track/202,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=202,"{'vocalinstrumental': 'instrumental', 'speed': 'medium', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}",107.666015625,0.0214085951447486,2501.9348366860886,0.1169369346217105,0.5753921866416931,3
203,Mark Dabord,258,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,6,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=203,https://prod-1.storage.jamendo.com/?trackid=203&format=mp32&from=3lAigGjh5lAV5rysq8gwww%3D%3D%7C33Q348sdnhs6Uo5Ee0zfcw%3D%3D,https://prod-1.storage.jamendo.com/download/track/203/mp32/,,https://jamen.do/t/203,https://www.jamendo.com/track/203,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=203,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'high', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}",151.99908088235293,0.2418957948684692,2635.508600732828,0.1441646611358359,0.5311360955238342,2
204,LVOHC,200,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,7,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=204,https://prod-1.storage.jamendo.com/?trackid=204&format=mp32&from=cRVkH8fH6SJlyvChXJ9h4A%3D%3D%7ChyrsBDorFnDCkP8dfgLdMA%3D%3D,https://prod-1.storage.jamendo.com/download/track/204/mp32/,,https://jamen.do/t/204,https://www.jamendo.com/track/204,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=204,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'medium', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}",99.38401442307692,0.1881225556135177,2207.4624624270145,0.1205438667037538,0.4873282015323639,0
206,Un Poil De Relifion (Acous),145,7,TriFace,triface,3 Saucisses Dans Une Bulle,28,,8,2004-12-21,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=206,https://prod-1.storage.jamendo.com/?trackid=206&format=mp32&from=fDOY6cdox0VOMAz%2FBqhWtg%3D%3D%7CCfXJ6yY5nV1T7PTr1JPHmw%3D%3D,https://prod-1.storage.jamendo.com/download/track/206/mp32/,,https://jamen.do/t/206,https://www.jamendo.com/track/206,True,False,https://usercontent.jamendo.com?type=album&id=28&width=300&trackid=206,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'speed': 'medium', 'tags': {'genres': [], 'instruments': [], 'vartags': []}}",99.38401442307692,0.202010303735733,1775.6654510956607,0.0592301785023219,0.4373825192451477,1
214,Intro chiante,124,14,David TMX,david.tmx,Pouce !,31,,1,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=214,https://prod-1.storage.jamendo.com/?trackid=214&format=mp32&from=%2Fe0Ks1aajvEdnvP%2BvviUPg%3D%3D%7CtJapLoMIXQnBICc7cTVBLw%3D%3D,https://prod-1.storage.jamendo.com/download/track/214/mp32/,,https://jamen.do/t/214,https://www.jamendo.com/track/214,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=214,"{'vocalinstrumental': 'instrumental', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['punk'], 'instruments': [], 'vartags': ['neutral']}}",117.45383522727272,0.0773880928754806,1041.133795851148,0.0457446213477167,0.303169310092926,1
215,Aide toi...,151,14,David TMX,david.tmx,Pouce !,31,,2,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=215,https://prod-1.storage.jamendo.com/?trackid=215&format=mp32&from=CNwbLrIS0P4Jh%2BgouMarxw%3D%3D%7CqLKmTp7erRA5ib8Lkl6VOw%3D%3D,https://prod-1.storage.jamendo.com/download/track/215/mp32/,,https://jamen.do/t/215,https://www.jamendo.com/track/215,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=215,"{'vocalinstrumental': 'vocal', 'lang': 'fr', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'veryhigh', 'tags': {'genres': ['metal'], 'instruments': ['electricguitar', 'electroamplified'], 'vartags': ['action', 'energetic']}}",198.76802884615384,0.2174078375101089,3172.2213081013133,0.202645788989938,0.5929450392723083,2
216,Une charogne,234,14,David TMX,david.tmx,Pouce !,31,,3,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=216,https://prod-1.storage.jamendo.com/?trackid=216&format=mp32&from=VWVyeYiXRr7Y2wM9KTUi8g%3D%3D%7CYP8h%2BkzQCipqEY2nL9SCAQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/216/mp32/,,https://jamen.do/t/216,https://www.jamendo.com/track/216,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=216,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'high', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': []}}",135.99917763157896,0.1453288942575454,2572.8250266893747,0.1461854350087074,0.5162078142166138,3
217,Aimons nous...,127,14,David TMX,david.tmx,Pouce !,31,,4,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=217,https://prod-1.storage.jamendo.com/?trackid=217&format=mp32&from=UT7jEafCyDXBoaaXAeNAIg%3D%3D%7Cr2gDgrUq8sYR5smplySbmg%3D%3D,https://prod-1.storage.jamendo.com/download/track/217/mp32/,,https://jamen.do/t/217,https://www.jamendo.com/track/217,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=217,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'veryhigh', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': []}}",99.38401442307692,0.2180798351764679,2532.284844153508,0.1390048283910603,0.5194653272628784,0
218,Jouvencelle,180,14,David TMX,david.tmx,Pouce !,31,,5,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=218,https://prod-1.storage.jamendo.com/?trackid=218&format=mp32&from=pcwLnWXh%2BzjjLRs%2B8myoAA%3D%3D%7Cf9gBi%2FuKP%2FH9XP%2BvLpWdJw%3D%3D,https://prod-1.storage.jamendo.com/download/track/218/mp32/,,https://jamen.do/t/218,https://www.jamendo.com/track/218,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=218,"{'vocalinstrumental': 'vocal', 'lang': 'fr', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['punk'], 'instruments': [], 'vartags': ['neutral']}}",92.28515625,0.1696204245090484,2199.794203258551,0.0964536873548761,0.3616843819618225,1
219,L'homme pouce,199,14,David TMX,david.tmx,Pouce !,31,,6,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=219,https://prod-1.storage.jamendo.com/?trackid=219&format=mp32&from=ZHzZXXVSpP064Rq7w3vu6g%3D%3D%7CiE4F1VM3rVwjLJszUaPpyQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/219/mp32/,,https://jamen.do/t/219,https://www.jamendo.com/track/219,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=219,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': []}}",95.703125,0.2478289604187011,2741.4653138449858,0.1354220836155185,0.485502541065216,0
220,Y'a un truc,174,14,David TMX,david.tmx,Pouce !,31,,7,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=220,https://prod-1.storage.jamendo.com/?trackid=220&format=mp32&from=OLaEOD2ZgR92Hym7lqWIIw%3D%3D%7CNKTW3%2Bv3lpAoeuw4pprQrQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/220/mp32/,,https://jamen.do/t/220,https://www.jamendo.com/track/220,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=220,"{'vocalinstrumental': 'vocal', 'lang': 'fr', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['punk'], 'instruments': [], 'vartags': ['neutral']}}",129.19921875,0.1401780098676681,2769.995535805225,0.1872324279218266,0.5568021535873413,3
221,LVO Hardcore,224,14,David TMX,david.tmx,Pouce !,31,,8,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=221,https://prod-1.storage.jamendo.com/?trackid=221&format=mp32&from=MR5AbQj2FbLWx3vZbo9%2Bsg%3D%3D%7C4fkAsVnOe7oBJldOKptuLQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/221/mp32/,,https://jamen.do/t/221,https://www.jamendo.com/track/221,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=221,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['punk'], 'instruments': [], 'vartags': []}}",129.19921875,0.1199162751436233,2431.779549566094,0.0923448686629257,0.5168231129646301,3
222,Que du naturel,161,14,David TMX,david.tmx,Pouce !,31,,9,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=222,https://prod-1.storage.jamendo.com/?trackid=222&format=mp32&from=xV9w0trrlZbEq2OjgdPheQ%3D%3D%7CQVGud8n1wpUr2%2FVpJhIHMg%3D%3D,https://prod-1.storage.jamendo.com/download/track/222/mp32/,,https://jamen.do/t/222,https://www.jamendo.com/track/222,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=222,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['punk', 'hardcorepunk'], 'instruments': [], 'vartags': []}}",103.359375,0.1771664768457412,2664.881427458045,0.1637151853957043,0.5980806350708008,0
223,Voici le gala,217,14,David TMX,david.tmx,Pouce !,31,,10,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=223,https://prod-1.storage.jamendo.com/?trackid=223&format=mp32&from=QF8wvaM%2Fa3O8C8LByVqIHQ%3D%3D%7Cjfj1HXY2Ge0AZcDzmbImwA%3D%3D,https://prod-1.storage.jamendo.com/download/track/223/mp32/,,https://jamen.do/t/223,https://www.jamendo.com/track/223,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=223,"{'vocalinstrumental': 'vocal', 'lang': 'fr', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'high', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': ['neutral']}}",143.5546875,0.2653099298477173,2697.092200808628,0.1531052722281346,0.500777006149292,2
224,Croquemitaine,109,14,David TMX,david.tmx,Pouce !,31,,11,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=224,https://prod-1.storage.jamendo.com/?trackid=224&format=mp32&from=foWGbomcdh6%2BSt%2B8fLmlwg%3D%3D%7CuAIeNLBTriatfGAai%2FaEmA%3D%3D,https://prod-1.storage.jamendo.com/download/track/224/mp32/,,https://jamen.do/t/224,https://www.jamendo.com/track/224,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=224,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'veryhigh', 'tags': {'genres': ['rock', 'punk'], 'instruments': [], 'vartags': ['neutral']}}",99.38401442307692,0.225770503282547,2831.3554638087767,0.15555272530476,0.5289114117622375,0
225,Histoire de grouin,205,14,David TMX,david.tmx,Pouce !,31,,12,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=225,https://prod-1.storage.jamendo.com/?trackid=225&format=mp32&from=JF%2BCpdvPrCu%2BEr2XiL4UYQ%3D%3D%7CLWREqFQZwL9k%2FxbbISOdeA%3D%3D,https://prod-1.storage.jamendo.com/download/track/225/mp32/,,https://jamen.do/t/225,https://www.jamendo.com/track/225,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=225,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['punk'], 'instruments': [], 'vartags': ['neutral']}}",117.45383522727272,0.19691963493824,2542.373597110277,0.138414884868421,0.5372743606567383,0
226,JLP vs momomatic,222,14,David TMX,david.tmx,Pouce !,31,,13,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=226,https://prod-1.storage.jamendo.com/?trackid=226&format=mp32&from=2c3nb5fv9XUdMgImif7Txw%3D%3D%7CnphrZvdI7ZWgdT7WHSIInQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/226/mp32/,,https://jamen.do/t/226,https://www.jamendo.com/track/226,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=226,"{'vocalinstrumental': 'vocal', 'lang': 'fr', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': ['neutral']}}",135.99917763157896,0.2617684602737427,2958.4366382529824,0.1666282441224845,0.6212825775146484,2
227,Légionnaire zoophile,245,14,David TMX,david.tmx,Pouce !,31,,14,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=227,https://prod-1.storage.jamendo.com/?trackid=227&format=mp32&from=V7RZvl2Kix6nopxmXOfiYQ%3D%3D%7C0Eedg2TVu853Vcw75gNHrA%3D%3D,https://prod-1.storage.jamendo.com/download/track/227/mp32/,,https://jamen.do/t/227,https://www.jamendo.com/track/227,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=227,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'high', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': ['neutral']}}",135.99917763157896,0.2078153789043426,1880.6820494987496,0.0982820965557275,0.490132063627243,0
228,La frontière,190,14,David TMX,david.tmx,Pouce !,31,,15,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=228,https://prod-1.storage.jamendo.com/?trackid=228&format=mp32&from=65vxQEzaGJPlSgNVk7OMOQ%3D%3D%7Cd%2BKFrOH3K0ZHytrZAeSwTQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/228/mp32/,,https://jamen.do/t/228,https://www.jamendo.com/track/228,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=228,"{'vocalinstrumental': 'vocal', 'lang': 'fr', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'high', 'tags': {'genres': ['rock'], 'instruments': [], 'vartags': ['neutral']}}",143.5546875,0.1705249547958374,2503.976743563316,0.1263832115905572,0.4043876230716705,3
229,Headbanger,180,14,David TMX,david.tmx,Pouce !,31,,16,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=229,https://prod-1.storage.jamendo.com/?trackid=229&format=mp32&from=Ep942HEVY6I%2F4M%2BRHy0PxQ%3D%3D%7CIhOuiwBCL%2FA1f9uKpFRM6w%3D%3D,https://prod-1.storage.jamendo.com/download/track/229/mp32/,,https://jamen.do/t/229,https://www.jamendo.com/track/229,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=229,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': ['neutral']}}",103.359375,0.2024099677801132,2153.665760368736,0.1336114369678792,0.4195314347743988,0
230,Noxious,124,14,David TMX,david.tmx,Pouce !,31,,17,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=230,https://prod-1.storage.jamendo.com/?trackid=230&format=mp32&from=vdS8vvoK9JJVpf4jlnPirA%3D%3D%7CaNJ%2F0kVRQf%2Fi8oJPkT3vaw%3D%3D,https://prod-1.storage.jamendo.com/download/track/230/mp32/,,https://jamen.do/t/230,https://www.jamendo.com/track/230,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=230,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'high', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': ['neutral']}}",135.99917763157896,0.1664528995752334,2533.8164112514246,0.1307573348006966,0.5229036211967468,3
231,Ralalalatouf,276,14,David TMX,david.tmx,Pouce !,31,,18,2004-12-28,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=231,https://prod-1.storage.jamendo.com/?trackid=231&format=mp32&from=JShkeEIVw2i4jW0djQTPCw%3D%3D%7Cpv4HvesvVoWfyhBpSXgiDA%3D%3D,https://prod-1.storage.jamendo.com/download/track/231/mp32/,,https://jamen.do/t/231,https://www.jamendo.com/track/231,True,False,https://usercontent.jamendo.com?type=album&id=31&width=300&trackid=231,"{'vocalinstrumental': 'vocal', 'gender': 'male', 'acousticelectric': 'electric', 'speed': 'medium', 'tags': {'genres': ['metal'], 'instruments': [], 'vartags': ['neutral']}}",151.99908088235293,0.0809342712163925,3047.741126850271,0.1527243221507352,0.2863413691520691,3
232,EHMA - Pizzicato,212,15,Various Artists,va,CD KDO-PYLEFT,32,,1,2004-12-28,https://usercontent.jamendo.com?type=album&id=32&width=300&trackid=232,https://prod-1.storage.jamendo.com/?trackid=232&format=mp32&from=D7B2zTm2qZaN7ubqnjnEIA%3D%3D%7CLxTj08jG8KRYs6l8Qvlnog%3D%3D,https://prod-1.storage.jamendo.com/download/track/232/mp32/,,https://jamen.do/t/232,https://www.jamendo.com/track/232,True,False,https://usercontent.jamendo.com?type=album&id=32&width=300&trackid=232,"{'tags': {'genres': [], 'instruments': [], 'vartags': []}}",123.046875,0.1597525775432586,855.2428349398492,0.0332401618130804,0.3259490728378296,1
